Calf_ID, Strain, Day, Replicate, Plate_count, Broth_Enrichment
a35, A, 2, 1, 0, 10
a35, A, 2, 2, 0, 10
a35, A, 2, 3, 0, 10
a35, A, 3, 1, 100, NA
a35, A, 3, 2, 0, NA
a35, A, 3, 3, 0, NA
a35, A, 4, 1, 0, 0
a35, A, 4, 2, 0, 0
a35, A, 4, 3, 0, 0
a35, A, 5, 1, 0, 0
a35, A, 5, 2, 0, 0
a35, A, 5, 3, 0, 0
a35, A, 6, 1, 0, 0
a35, A, 6, 2, 0, 0
a35, A, 6, 3, 0, 0
a35, A, 7, 1, 0, 0
a35, A, 7, 2, 0, 0
a35, A, 7, 3, 0, 0
a35, A, 8, 1, 0, 0
a35, A, 8, 2, 0, 0
a35, A, 8, 3, 0, 0
a35, A, 9, 1, 0, 0
a35, A, 9, 2, 0, 0
a35, A, 9, 3, 0, 0
a35, A, 10, 1, 0, 0
a35, A, 10, 2, 0, 0
a35, A, 10, 3, 0, 0
a35, A, 11, 1, 0, 0
a35, A, 11, 2, 0, 0
a35, A, 11, 3, 0, 0
a35, A, 12, 1, NA, NA
a35, A, 12, 2, NA, NA
a35, A, 12, 3, NA, NA
a35, A, 13, 1, 0, 0
a35, A, 13, 2, 0, 0
a35, A, 13, 3, 0, 0
a35, A, 15, 1, 0, 0
a35, A, 15, 2, 0, 0
a35, A, 15, 3, 0, 0
a35, A, 16, 1, 0, 0
a35, A, 16, 2, 0, 0
a35, A, 16, 3, 0, 0
a35, A, 17, 1, 0, 0
a35, A, 17, 2, 0, 0
a35, A, 17, 3, 0, 0
a35, A, 17, 1, 0, 0
a35, A, 17, 2, 0, 0
a35, A, 17, 3, 0, 0
EnvA3, A, 0, 1, 0, NA
EnvA3, A, 0, 2, 0, NA
EnvA3, A, 0, 3, 0, NA
EnvA3, A, 1, 1, 200, NA
EnvA3, A, 1, 2, 100, NA
EnvA3, A, 1, 3, 0, NA
EnvA3, A, 2, 1, 120000, NA
EnvA3, A, 2, 2, 100000, NA
EnvA3, A, 2, 3, 130000, NA
EnvA3, A, 3, 1, 90000, NA
EnvA3, A, 3, 2, 50000, NA
EnvA3, A, 3, 3, 20000, NA
EnvA3, A, 4, 1, 2000, NA
EnvA3, A, 4, 2, 0, NA
EnvA3, A, 4, 3, 2000, NA
EnvA3, A, 5, 1, 1000, NA
EnvA3, A, 5, 2, 2000, NA
EnvA3, A, 5, 3, 1000, NA
EnvA3, A, 6, 1, 6000, NA
EnvA3, A, 6, 2, 0, NA
EnvA3, A, 6, 3, 2000, NA
EnvA3, A, 7, 1, 200, NA
EnvA3, A, 7, 2, 100, NA
EnvA3, A, 7, 3, 100, NA
EnvA3, A, 8, 1, 100, NA
EnvA3, A, 8, 2, 200, NA
EnvA3, A, 8, 3, 400, NA
EnvA3, A, 9, 1, 100, NA
EnvA3, A, 9, 2, 0, NA
